,locationName,categories,locationAddress,locationCity,locationState,locationZip,locationPhone,openTime,Years In Business
755,Montien Thai Restaurant,"['Restaurants', 'Thai Restaurants', 'Bars']",63 Stuart St,Boston,MA,02116,(617) 338-5600,11:30 am - 10:30 pm,35
756,Little Lamb Hot Pot Restaurant,"['Restaurants', 'Asian Restaurants', 'Family Style Restaurants']",695 Washington St,Boston,MA,02111,(857) 277-1000,5:30 pm - 9:30 pm,
757,Southern Proper,"['Restaurants', 'American Restaurants', 'Barbecue Restaurants']",600 Harrison Ave,Boston,MA,02118,(857) 233-2421,5:00 pm - 11:00 pm,3
758,Causeway Restaurant & Bar,"['Restaurants', 'Barbecue Restaurants', 'Bars']",65 Causeway St,Boston,MA,02114,(617) 227-9100,11:30 am - 2:00 am,6
759,J.J. Foley's Cafe,"['Restaurants', 'Irish Restaurants', 'American Restaurants']",117 E Berkeley St,Boston,MA,02118,(617) 728-9101,11:00 am - 11:00 am,111
760,Corporate Tasty Burger,"['Restaurants', 'Hamburgers & Hot Dogs', 'American Restaurants']",47 Winter St Ste 7,Boston,MA,02108,(857) 277-0123,,4
761,Legal Crossing,"['Restaurants', 'American Restaurants', 'Bars']",558 Washington St,Boston,MA,02111,(617) 692-8888,11:00 am - 2:00 am,70
762,Chinese Progressive Association,"['Restaurants', 'Chinese Restaurants']",1 Nassau St,Boston,MA,02111,(617) 357-8322,8:00 am - 5:00 pm,9
763,Cinquecento,"['Restaurants', 'Italian Restaurants', 'Take Out Restaurants']",500 Harrison Ave,Boston,MA,02118,(617) 338-9500,5:00 pm - 10:00 pm,25
764,Dona Habana,"['Restaurants', 'Cuban Restaurants', 'Family Style Restaurants']",811 Massachusetts Ave,Boston,MA,02118,(617) 708-0796,11:00 am - 10:00 pm,4
765,Hub Hall,"['Restaurants', 'American Restaurants']",80 Causeway St,Boston,MA,02114,(617) 263-8900,,
766,Boston Chops,"['Restaurants', 'American Restaurants', 'Steak Houses']",52 Temple Pl,Boston,MA,02111,(857) 991-1447,,
767,Banners Kitchen & Tap,"['Restaurants', 'American Restaurants', 'Bars']",82 Causeway St,Boston,MA,02114,(617) 263-8200,4:00 pm - 9:00 pm,
768,Ninety Nine Restaurant & Pub,"['Restaurants', 'Steak Houses']",29 Austin St,Charlestown,MA,02129,(617) 242-8999,11:30 am - 10:30 pm,
769,Ruby Room,"['Restaurants', 'American Restaurants', 'Bars']",155 Portland St,Boston,MA,02114,(617) 557-9950,7:00 am - 10:00 pm,13
770,The Fish Shack,"['Restaurants', 'Seafood Restaurants']",348 Harrison Ave,Boston,MA,02118,(617) 904-1000,11:00 am - 7:00 pm,
771,2twenty2,"['Restaurants', 'American Restaurants', 'Asian Restaurants']",222 Friend St,Boston,MA,02114,(617) 723-3222,,3
772,Mast Restaurant And Drinkery,"['Restaurants', 'Italian Restaurants', 'Pizza']",45 Province St,Boston,MA,02108,(617) 936-3800,11:00 am - 11:00 pm,6
773,Area Four Boston,"['Restaurants', 'American Restaurants', 'Seafood Restaurants']",264 E Berkeley St,Boston,MA,02118,(857) 317-4805,5:00 pm - 2:00 am,9
774,PABU Boston,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",3 Franklin St,Boston,MA,02110,(857) 327-7228,5:30 pm - 10:00 pm,4
775,China King,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",60 Beach St,Boston,MA,02111,(617) 542-1763,11:00 am - 11:00 pm,16
776,Kingston Grille & Bar,"['Restaurants', 'American Restaurants', 'Brew Pubs']",25 Kingston St,Boston,MA,02111,(857) 233-4514,10:00 am - 10:00 pm,
777,Legal Oysteria,"['Restaurants', 'Seafood Restaurants', 'Bars']",10 City Sq,Charlestown,MA,02129,(617) 712-1988,11:30 am - 11:00 pm,70
778,Dig,"['Restaurants', 'American Restaurants', 'Vegetarian Restaurants']",277 Washington St,Boston,MA,02108,(617) 276-1000,,9
779,Viga,"['Restaurants', 'Italian Restaurants']",275 Washington St,Boston,MA,02108,(617) 742-8442,11:00 am - 3:00 pm,5
780,The Real Deal,"['Restaurants', 'American Restaurants', 'Delicatessens']",736 Centre St,Jamaica Plain,MA,02130,(617) 522-1181,10:00 am - 9:00 pm,11
781,Noodle Lab,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",100 Hanover St,Boston,MA,02108,(617) 752-2781,8:00 am - 8:00 pm,
782,Bon Me,"['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",100 Hanover St,Boston,MA,02108,(617) 602-2658,9:00 am - 8:00 pm,
783,Sterling's,"['Restaurants', 'American Restaurants', 'Cocktail Lounges']",60 State St,Boston,MA,02109,(617) 531-8200,11:00 am - 12:00 am,4
784,Serafina Boston,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",10 High St,Boston,MA,02110,(617) 426-1234,11:00 am - 10:00 pm,5
785,Koy,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",16 North St,Boston,MA,02109,(857) 991-1483,11:00 am - 12:00 am,4
786,The Kitchen Cafe,"['Restaurants', 'American Restaurants']",104 South St,Boston,MA,02111,(617) 695-3775,7:00 am - 3:00 pm,3
787,Cosi,"['Restaurants', 'Sandwich Shops', 'Delicatessens']",2 South St Suite 182,Jamaica Plain,MA,02130,(617) 737-0340,6:00 pm - 9:00 pm,
788,Boston College Club,"['Restaurants', 'American Restaurants', 'Bars']",100 Federal St,Boston,MA,02110,(617) 946-2828,7:30 am - 9:00 pm,119
789,Dick's Last Resort,"['Restaurants', 'American Restaurants', 'Mexican Restaurants']",1 Faneuil Hall Market Pl,Boston,MA,02109,(617) 267-8080,11:00 am - 10:00 pm,27
790,Kilvert & Forbes Ltd,"['Restaurants', 'American Restaurants']",FANEUIL Hall Marketplace,Boston,MA,02109,(617) 723-6050,10:00 am - 9:00 pm,38
791,Limoncello 2,"['Restaurants', 'Italian Restaurants', 'Family Style Restaurants']",76 Salem St,Boston,MA,02113,(617) 530-1955,,
792,Pauli's,"['Restaurants', 'American Restaurants', 'Delicatessens']",65 Salem St,Boston,MA,02113,(857) 284-7064,8:00 am - 9:00 pm,8
793,North End Fish Market,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",99 Salem St,Boston,MA,02113,(857) 362-7477,10:00 am - 8:00 pm,11
794,Bricco,"['Restaurants', 'Italian Restaurants', 'Pizza']",241 Hanover St,Boston,MA,02113,(617) 248-6800,4:00 pm - 11:00 pm,19
795,La Famiglia Spagnuolo,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",240 Hanover St,Boston,MA,02113,(617) 742-9124,,
796,Freshii,"['Restaurants', 'American Restaurants', 'Caterers']",100 High St,Boston,MA,02110,(857) 233-2674,7:00 am - 4:00 pm,9
797,Caffe Paradiso,"['Restaurants', 'Coffee Shops', 'Italian Restaurants']",255 Hanover St,Boston,MA,02113,(617) 742-1768,7:00 am - 2:00 am,29
798,Bostonia Public House,"['Restaurants', 'American Restaurants', 'Bars']",131 State St,Boston,MA,02109,(617) 948-9800,11:30 am - 10:00 pm,6
799,Kamakura,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",150 State St,Boston,MA,02109,(617) 377-4588,,4
800,Warehouse Bar & Grille,"['Restaurants', 'American Restaurants', 'Bar & Grills']",40 Broad St,Boston,MA,02109,(617) 936-4383,11:30 am - 12:00 am,7
801,Carmelina's,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",307 Hanover St,Boston,MA,02113,(617) 742-0020,12:00 pm - 10:30 pm,11
802,Scopa,"['Restaurants', 'Italian Restaurants', 'Continental Restaurants']",319 Hanover St,Boston,MA,02113,(857) 317-2871,11:00 am - 11:00 pm,5
803,Worden Hall,"['Restaurants', 'American Restaurants', 'Taverns']",22 W Broadway,South Boston,MA,02127,(617) 752-4206,11:30 am - 1:00 am,41
804,Pellino's Ristorante,"['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",2 Prince St,Boston,MA,02113,(617) 227-7300,11:30 am - 10:00 pm,8
805,Fin Point,"['Restaurants', 'Seafood Restaurants', 'Bars']",89 Broad St,Boston,MA,02110,(617) 348-1234,6:30 am - 12:00 am,
806,North Square Oyster,"['Restaurants', 'Seafood Restaurants', 'American Restaurants']",5 North Sq,Boston,MA,02113,(617) 829-4975,11:30 am - 1:00 am,5
807,Fox & The Knife,"['Restaurants', 'Italian Restaurants']",28 W Broadway,South Boston,MA,02127,(617) 766-8630,4:00 pm - 10:00 am,2
808,Lukes Lobster,"['Restaurants', 'Seafood Restaurants']",53 North Ave,Roxbury,MA,02119,(617) 848-0911,11:00 am - 9:00 pm,
809,Trade,"['Restaurants', 'American Restaurants', 'Family Style Restaurants']",540 Atlantic Ave,Boston,MA,02210,(617) 451-1234,11:30 am - 9:00 pm,9
810,Brewer's Fork,"['Restaurants', 'Pizza', 'Bars']",7 Moulton St,Charlestown,MA,02129,(617) 337-5703,11:30 am - 11:00 pm,8
811,The Palm - Boston,"['Restaurants', 'Steak Houses', 'Italian Restaurants']",1 International Pl,Boston,MA,02110,(617) 867-9292,11:30 am - 11:00 pm,94
812,Rowes Wharf Sea Grille,"['Restaurants', 'Seafood Restaurants', 'Bars']",70 Rowes Wharf,Boston,MA,02110,(617) 856-7744,6:30 am - 10:00 pm,
813,Pier 6,"['Restaurants', 'Seafood Restaurants', 'Bars']",1 8th St,Charlestown,MA,02129,(617) 337-0054,11:00 am - 10:00 pm,6
814,Battery Wharf Grille,"['Restaurants', 'American Restaurants', 'Steak Houses']",3 Battery Wharf,Boston,MA,02109,(617) 994-9001,6:30 am - 11:00 am,
815,Bon Me,"['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",313 Congress St,Boston,MA,02210,(857) 350-4035,10:30 am - 8:00 pm,
816,The Smoke Shop BBQ - Seaport,"['Restaurants', 'Barbecue Restaurants', 'Bars']",343 Congress St,Boston,MA,02210,(617) 261-7427,12:00 pm - 10:00 pm,3
817,Pastoral,"['Restaurants', 'Pizza', 'American Restaurants']",345 Congress St,Boston,MA,02210,(617) 345-0005,11:30 am - 1:30 am,6
818,Dig,"['Restaurants', 'American Restaurants', 'Vegetarian Restaurants']",25 Thomson Pl,Boston,MA,02210,(617) 904-4009,,
819,110 Grill,"['Restaurants', 'American Restaurants']",1 District Ave,Dorchester,MA,02125,(617) 506-8873,11:30 am - 10:00 pm,2
820,Mastro's Ocean Club,"['Restaurants', 'American Restaurants', 'Fine Dining Restaurants']",25 Fan Pier Blvd,Boston,MA,02210,(617) 530-1925,,3
821,Tuscan Kitchen,"['Restaurants', 'Italian Restaurants']",64 Seaport Blvd,Boston,MA,02210,(617) 303-7300,11:30 am - 10:00 pm,
822,Kings Dining & Entertainment,"['Restaurants', 'American Restaurants', 'Bars']",60 Seaport Blvd Ste 225,Boston,MA,02210,(617) 401-0025,12:00 pm - 12:00 am,
823,Coppersmith,"['Restaurants', 'American Restaurants', 'Bars']",40 W 3rd Street Pl,South Boston,MA,02127,(617) 658-3452,11:00 am - 1:00 am,6
824,by CHLOE. - Boston Seaport,"['Restaurants', 'American Restaurants', 'Vegetarian Restaurants']",107 Seaport Blvd,Boston,MA,02210,(617) 845-1055,11:00 am - 10:00 pm,
825,Ocean Prime,"['Restaurants', 'American Restaurants', 'Bars']",140 Seaport Blvd,Boston,MA,02210,(617) 670-1345,11:30 am - 11:00 pm,19
826,Honey Grow,"['Restaurants', 'Asian Restaurants', 'Chinese Restaurants']",100 Northern Ave,Boston,MA,02210,(857) 350-3642,10:30 am - 10:00 pm,3
827,Jp Licks,"['Restaurants', 'American Restaurants']",397 W Broadway,South Boston,MA,02127,(857) 496-7095,,
828,Tikkimasala,"['Restaurants', 'Indian Restaurants', 'Asian Restaurants']",3706 Washington St,Jamaica Plain,MA,02130,(617) 942-2966,11:30 am - 10:00 pm,6
829,Wahlburgers,"['Restaurants', 'American Restaurants', 'Bars']",9 District Ave,Dorchester,MA,02125,(617) 282-4800,12:00 pm - 8:00 pm,
830,Maverick Marketplace Cafe,"['Restaurants', 'American Restaurants', 'Bars']",154 Maverick St,East Boston,MA,02128,(617) 455-6232,8:00 am - 11:00 pm,5
831,Gyu-Kaku,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",16 Eliot St,Cambridge,MA,02138,(857) 259-6666,11:30 am - 10:30 pm,24
832,Bonchon,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",57 Jfk St,Cambridge,MA,02138,(617) 868-0981,11:30 am - 11:00 pm,8
833,Russell House Tavern,"['Restaurants', 'American Restaurants', 'Taverns']",14 Jfk St,Cambridge,MA,02138,(617) 500-3055,11:00 am - 1:00 am,9
834,Alden & Harlow,"['Restaurants', 'American Restaurants']",40 Brattle St,Cambridge,MA,02138,(617) 864-2100,5:00 pm - 1:00 am,8
835,Bon Me,"['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",1350 Massachusetts Ave,Cambridge,MA,02138,(617) 652-8462,8:30 am - 9:00 pm,
836,Hong Kong Restaurant,"['Restaurants', 'Chinese Restaurants', 'Cocktail Lounges']",1238 Massachusetts Ave,Cambridge,MA,02138,(617) 864-5311,11:30 am - 2:00 am,66
837,Harvard Faculty Club,"['Restaurants', 'American Restaurants']",20 Quincy St,Cambridge,MA,02138,(617) 495-5758,7:30 am - 9:00 pm,
838,Thelonious Monkfish,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",524 Massachusetts Ave,Cambridge,MA,02139,(617) 441-2116,11:30 am - 10:00 pm,10
839,Viale,"['Restaurants', 'Mediterranean Restaurants', 'Pizza']",502 Massachusetts Ave,Cambridge,MA,02139,(617) 576-1900,5:00 pm - 12:00 am,5
840,Little Donkey,"['Restaurants', 'American Restaurants', 'Bar & Grills']",505 Massachusetts Ave,Cambridge,MA,02139,(617) 945-1008,8:00 am - 1:00 am,4
841,Happy Lamb Hot Pot,"['Restaurants', 'Asian Restaurants', 'Chinese Restaurants']",485 Massachusetts Ave,Cambridge,MA,02139,(857) 285-6933,"11:30 am - 2:30 pm, 5:30 pm - 9:30 pm",4
842,Mariposa Bakery,"['Restaurants', 'American Restaurants']",424 Massachusetts Ave,Cambridge,MA,02139,(617) 876-6500,7:00 am - 7:00 pm,15
843,Nubar,"['Restaurants', 'American Restaurants', 'Bars']",16 Garden St,Cambridge,MA,02138,(617) 234-1365,6:30 am - 12:00 am,9
844,Pagu,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",310 Massachusetts Ave,Cambridge,MA,02139,(617) 945-9290,11:30 am - 10:00 pm,4
845,Area Four,"['Restaurants', 'American Restaurants', 'Coffee Shops']",500 Technology Sq,Cambridge,MA,02139,(617) 758-4444,7:00 am - 12:00 am,
846,The Biscuit,"['Restaurants', 'Breakfast, Brunch & Lunch Restaurants', 'Bakeries']",406 Washington St,Somerville,MA,02143,(617) 666-2770,7:00 am - 5:00 pm,12
847,Nirvana,"['Restaurants', 'Indian Restaurants', 'Health Food Restaurants']",1680 Massachusetts Ave,Cambridge,MA,02138,(617) 441-5566,11:30 am - 11:00 pm,3
848,Tallula,"['Restaurants', 'American Restaurants']",377 Walden St,Cambridge,MA,02138,(617) 714-5584,5:30 pm - 10:00 pm,
849,The Smoke Shop BBQ - Kendall Square,"['Restaurants', 'Barbecue Restaurants']",1 Kendall Sq,Cambridge,MA,02139,(617) 577-7427,11:00 am - 12:00 am,
850,Manoa Poke,"['Restaurants', 'Seafood Restaurants']",300 Beacon St,Somerville,MA,02143,(617) 945-1042,12:00 pm - 9:00 pm,
851,Green Peapod,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",557 Mount Auburn St,Watertown,MA,02472,(617) 926-8881,11:00 am - 9:30 pm,29
852,Legal Sea Foods,"['Restaurants', 'Seafood Restaurants']",355 Main St,Cambridge,MA,02142,(617) 864-3400,11:00 am - 10:00 pm,70
853,Legal Fish Bowl,"['Restaurants', 'American Restaurants']",355 Main St,Cambridge,MA,02142,(617) 712-1975,11:00 am - 9:00 pm,52
854,Champions,"['Restaurants', 'American Restaurants', 'Bars']",2 Cambridge Ctr,Cambridge,MA,02142,(617) 252-4444,6:00 am - 12:00 pm,
855,Olive Cafe,"['Restaurants', 'Pizza', 'Greek Restaurants']",43 Gore Street Pl,Cambridge,MA,02141,(617) 876-4189,9:30 am - 11:00 pm,14
856,Blue Fin,"['Restaurants', 'Japanese Restaurants', 'Seafood Restaurants']",1815 Massachusetts Ave Ste P4,Cambridge,MA,02140,(617) 497-8022,11:30 am - 10:00 pm,23
857,Juliet,"['Restaurants', 'American Restaurants', 'Caterers']",257 Washington St,Somerville,MA,02143,(617) 718-0958,7:00 am - 10:00 pm,4
858,Ebi Sushi,"['Restaurants', 'Sushi Bars', 'Seafood Restaurants']",290 Somerville Ave,Somerville,MA,02143,(617) 764-5556,11:30 am - 10:00 pm,9
859,Loyal Nine,"['Restaurants', 'American Restaurants', 'Seafood Restaurants']",660 Cambridge St,Cambridge,MA,02141,(617) 945-2576,7:00 am - 10:00 pm,5
860,Tanam,"['Restaurants', 'Filipino Restaurants', 'Asian Restaurants']",1 Bow St,Somerville,MA,02143,(617) 669-2144,5:00 pm - 10:00 pm,2
861,Commonwealth,"['Restaurants', 'American Restaurants', 'Sandwich Shops']",11 Broad Canal Way,Cambridge,MA,02142,(617) 945-7030,10:00 am - 11:00 pm,6
862,Tatte Cambridge,"['Restaurants', 'American Restaurants', 'Bakeries']",318 3rd St,Cambridge,MA,02142,(617) 354-4200,7:00 am - 8:00 pm,
863,9Zaab,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",569 Cambridge St,Cambridge,MA,02141,(617) 868-6644,11:00 am - 9:30 pm,
864,Sumiao Hunan Kitchen,"['Restaurants', 'Chinese Restaurants', 'Bars']",270 3rd St,Cambridge,MA,02142,(857) 706-1193,11:00 am - 10:00 pm,
865,McCabe's Bar & Grille,"['Restaurants', 'American Restaurants', 'Bars']",2046 Massachusetts Ave,Cambridge,MA,02140,(617) 945-7115,4:00 pm - 1:00 am,6
866,Bon Me,"['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",201 Alewife Brook Pkwy,Cambridge,MA,02138,(617) 945-2822,11:00 am - 9:00 pm,
867,Royal Punjab,"['Restaurants', 'Indian Restaurants', 'Asian Restaurants']",251 Cambridge St,Cambridge,MA,02141,(617) 492-7232,11:00 am - 10:00 pm,8
868,Gaya Pizzeria,"['Restaurants', 'Italian Restaurants', 'Pizza']",8 Highland Ave,Somerville,MA,02143,(617) 776-8000,11:00 am - 10:00 pm,3
869,Painted Burro,"['Restaurants', 'Mexican Restaurants', 'Bars']",219 Elm St,Somerville,MA,02144,(617) 776-0005,5:00 pm - 11:30 pm,8
870,P.F. Chang's China Bistro,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",100 Cambridgeside Pl Spc C101,Cambridge,MA,02141,(617) 250-9965,,
871,Cosi,"['Restaurants', 'Sandwich Shops', 'Coffee & Tea']",100 Cambridgeside Pl Ste 0,Cambridge,MA,02141,(617) 812-4748,8:00 am - 9:00 pm,
872,Charleys Philly Steaks,"['Restaurants', 'Steak Houses']",100 Cambridgeside Pl,Cambridge,MA,02141,(617) 945-7354,10:00 am - 9:00 pm,
873,Suvaai,"['Restaurants', 'Asian Restaurants', 'Caterers']",2378 Massachusetts Ave,Cambridge,MA,02140,(857) 259-6552,11:30 am - 10:00 pm,7
874,MidiCi The Neapolitan Pizza Company,"['Restaurants', 'Pizza', 'Italian Restaurants']",463 Assembly Row,Somerville,MA,02145,(617) 764-1541,11:00 am - 10:00 pm,3
875,The Smoke Shop BBQ - Assembly Row,"['Restaurants', 'Barbecue Restaurants', 'Bars']",325 Assembly Row,Somerville,MA,02145,(617) 623-7427,12:00 pm - 9:00 pm,2
876,Lucky Strike,"['Restaurants', 'American Restaurants']",325 Revolution Dr,Somerville,MA,02145,(857) 997-8000,11:30 am - 1:00 am,
877,La Cucina,"['Restaurants', 'Italian Restaurants']",400 Assembly Row,Somerville,MA,02145,(857) 997-8211,11:30 am - 10:00 pm,1
878,Gen Sushi,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",61 Concord Ave,Belmont,MA,02478,(617) 484-1708,10:00 am - 4:00 pm,9
879,Olde Magoun's Saloon,"['Restaurants', 'American Restaurants', 'Bars']",518 Medford St,Somerville,MA,02145,(617) 776-2600,11:30 am - 1:00 am,16
880,Fat Hen,"['Restaurants', 'Italian Restaurants']",126 Broadway,Somerville,MA,02145,(617) 764-1612,5:00 pm - 10:00 pm,
881,Bertucci's Italian Restaurant,"['Restaurants', 'Italian Restaurants', 'Pizza']",275 Centre St,Newton,MA,02458,(617) 244-4900,,31
882,KoKo Bakery,"['Restaurants', 'American Restaurants', 'Caterers']",232l California St,Newton,MA,02458,(617) 483-5803,7:00 am - 3:00 pm,
883,Menotomy Grill & Tavern,"['Restaurants', 'American Restaurants', 'Bars']",25 Massachusetts Ave,Arlington,MA,02474,(781) 648-1775,12:00 pm - 12:00 am,8
884,True Bistro,"['Restaurants', 'American Restaurants', 'Vegetarian Restaurants']",1153 Broadway,Somerville,MA,02144,(617) 627-9000,5:00 pm - 9:00 pm,10
885,Style Cafe,"['Restaurants', 'Coffee Shops', 'Take Out Restaurants']",50 Middlesex Ave,Somerville,MA,02145,(617) 623-0057,11:00 am - 7:00 pm,7
886,Ruth's Chris Steak House,"['Restaurants', 'Steak Houses', 'Fine Dining Restaurants']",375 Revolution Dr,Somerville,MA,02145,(857) 995-6122,4:30 pm - 9:00 pm,
887,Chulo Restaurant & Bar,"['Restaurants', 'Asian Restaurants']",1 Waverley Ave,Watertown,MA,02472,(617) 923-3874,11:00 am - 12:00 am,
888,Davio’s Chestnut Hill,"['Restaurants', 'Italian Restaurants', 'Pizza']",55 Boylston St,Chestnut Hill,MA,02467,(617) 738-4810,11:30 am - 10:00 pm,
889,Legal Sea Foods,"['Restaurants', 'Seafood Restaurants']",55 Boylston St,Chestnut Hill,MA,02467,(617) 277-7300,11:00 am - 10:00 pm,
890,Tokyo Japanese Steak House,"['Restaurants', 'Japanese Restaurants', 'Caterers']",199 Boylston St,Chestnut Hill,MA,02467,(617) 243-9090,11:30 am - 10:00 pm,7
891,Shaking Crab,"['Restaurants', 'Seafood Restaurants', 'Creole & Cajun Restaurants']",203 Adams St,Newton,MA,02458,(617) 795-1630,5:00 pm - 11:00 pm,
892,Shine's Fresh Asian,"['Restaurants', 'Asian Restaurants', 'Chinese Restaurants']",30 Leonard St,Belmont,MA,02478,(617) 489-6333,11:30 am - 10:00 pm,25
893,Olivia's Bistro,"['Restaurants', 'Italian Restaurants', 'American Restaurants']",136 Adams St,Newton,MA,02458,(857) 404-0436,5:00 pm - 9:00 pm,3
894,House Of Tandoor,"['Restaurants', 'Indian Restaurants', 'Asian Restaurants']",81 Union St,Newton Center,MA,02459,(617) 916-2977,11:30 am - 11:00 pm,2
895,Fratelli,"['Restaurants', 'Italian Restaurants']",1 Broadway Encore Boston Harbor,Everett,MA,02149,(617) 420-8833,4:00 pm - 2:00 am,
896,Rare Steakhouse,"['Restaurants', 'Steak Houses', 'American Restaurants']",1 Broadway Encore Boston Harbor,Everett,MA,02149,(857) 770-3300,5:30 pm - 10:00 pm,
897,Mystique Asian Restaurant & Lounge,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",1 Broadway,Everett,MA,02149,(857) 770-3488,4:00 pm - 11:00 pm,
898,Oyster Bar,"['Restaurants', 'Seafood Restaurants']",1 Broadway,Everett,MA,02149,(857) 770-3350,,
899,Twyrl Pasta Bistro,"['Restaurants', 'Italian Restaurants']",315 Broadway,Arlington,MA,02474,(781) 859-3123,11:30 am - 8:30 pm,
900,Down the Road Beer,"['Restaurants', 'American Restaurants', 'Seafood Restaurants']",151 Bow St,Everett,MA,02149,(617) 454-4255,,
901,City Streets Restaurant,"['Restaurants', 'Continental Restaurants', 'Family Style Restaurants']",411 Waverley Oaks Rd,Waltham,MA,02452,(781) 647-2489,11:30 am - 1:00 am,9
902,Pho Viets,"['Restaurants', 'Vietnamese Restaurants', 'Asian Restaurants']",1095 Commonwealth Ave Ste 206,Boston,MA,02215,(617) 562-8828,11:00 am - 10:00 pm,15
903,Dim Sum Chef,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",1095 Commonwealth Ave,Boston,MA,02215,(617) 254-2073,Closed,
904,Jmp Food Hut,"['Restaurants', 'Middle Eastern Restaurants', 'Indian Restaurants']",1095 Commonwealth Ave,Boston,MA,02215,(617) 787-9700,12:00 pm - 10:00 pm,15
905,Chilipa Restaurant,"['Restaurants', 'Family Style Restaurants']",1095 Commonwealth Ave,Boston,MA,02215,(617) 987-0018,,6
906,Kantin,"['Restaurants', 'Chinese Restaurants', 'Caterers']",1095 Commonwealth Ave Ste 201,Boston,MA,02215,(617) 562-8388,11:00 am - 10:00 pm,17
907,Ki Bistro,"['Restaurants', 'Asian Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",270 Babcock St,Boston,MA,02215,(617) 208-6922,,
908,Thai Dish Restaurant,"['Restaurants', 'Thai Restaurants', 'Caterers']",270 Babcock St,Boston,MA,02215,(617) 789-5999,11:30 am - 10:00 pm,5
909,Holly Crab,"['Restaurants', 'Seafood Restaurants', 'Creole & Cajun Restaurants']",1098 Commonwealth Ave,Boston,MA,02215,(617) 487-5957,5:00 pm - 11:00 pm,
910,Quan's Kitchen Chinese Food,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",1026 Commonwealth Ave,Boston,MA,02215,(617) 232-7617,11:00 am - 11:30 pm,29
911,Live Noodles,"['Restaurants', 'Asian Restaurants']",1026 Commonwealth Ave,Boston,MA,02215,(617) 879-1701,12:00 pm - 12:00 am,5
912,Miki Miki Japanese Sushi Restaurant,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",304 Western Ave,Brighton,MA,02135,(617) 783-1888,11:00 am - 3:00 pm,
913,Shan A Punjab,"['Restaurants', 'Indian Restaurants', 'Health Food Restaurants']",500 Harvard St,Brookline,MA,02446,(617) 734-9000,11:30 am - 10:00 pm,
914,Basil Rice,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",479 Harvard St,Brookline,MA,02446,(617) 608-3563,11:00 am - 10:00 pm,6
915,B.Good,"['Restaurants', 'American Restaurants', 'Hamburgers & Hot Dogs']",455 Harvard St,Brookline,MA,02446,(617) 232-4800,11:00 am - 10:00 pm,
916,Article 24,"['Restaurants', 'American Restaurants', 'Sandwich Shops']",458 Western Ave,Brighton,MA,02135,(617) 254-2424,11:00 am - 11:00 pm,4
917,Cafe Eilat,"['Restaurants', 'Sushi Bars', 'Take Out Restaurants']",406 Harvard St,Brookline,MA,02446,(617) 277-7770,11:00 am - 9:00 pm,18
918,Ittoku,"['Restaurants', 'Japanese Restaurants', 'Sushi Bars']",1414 Commonwealth Ave,Brighton,MA,02135,(617) 396-8420,5:00 pm - 11:00 pm,7
919,Darbar Restaurant,"['Restaurants', 'Asian Restaurants', 'Caterers']",130 N Beacon St,Brighton,MA,02135,(617) 779-8800,11:30 am - 10:30 pm,15
920,Ganko Ittetsu Ramen,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",318 Harvard St,Brookline,MA,02446,(617) 730-8100,11:30 am - 9:00 pm,5
921,Pavement Coffee House,"['Restaurants', 'American Restaurants']",736 Commonwealth Ave,Boston,MA,02215,(617) 277-8737,7:00 am - 5:00 pm,
922,Atrium Cafe,"['Restaurants', 'American Restaurants']",1200 Beacon St,Brookline,MA,02446,(617) 277-1200,6:30 am - 10:00 pm,
923,Alfredo Italian Kitchen,"['Restaurants', 'Italian Restaurants', 'Pizza']",697 Cambridge St,Brighton,MA,02135,(617) 491-8292,11:00 am - 9:30 pm,
